0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16.192,308.496,76.068,-31.713,24.74,37.685,40.717,115.849,-6.791,-83.53,-52.538,83.193,10.21,16.935,-15.472,8.718,103.609,-309.552,-4.97,-16.609,68.448,-25.916
20.274,286.67,78.554,-34.756,29.326,41.746,46.824,118.295,-8.833,-85.495,-48.899,91.819,10.712,12.819,-10.334,15.882,102.993,-310.779,-6.502,-16.081,71.966,-24.865
29.988,268.453,74.889,-33.696,40.055,49.389,53.437,124.836,-4.726,-78.238,-47.313,96.338,13.775,35.348,-11.348,19.452,101.865,-309.444,-7.008,-13.503,80.603,-20.742
35.081,254.352,80.45,-31.101,46.675,58.561,57.483,133.421,6.037,-67.913,-40.606,98.803,22.471,56.317,-13.386,16.871,109.448,-305.036,-1.365,-8.366,84.621,-17.647
27.874,222.847,83.443,-29.021,39.456,56.966,58.45,134.824,3.47,-75.53,-41.078,97.167,16.301,50.113,-13.885,18.903,112.413,-307.292,-1.876,-9.895,77.876,-19.167
24.772,206.23,74.138,-29.504,31.219,53.835,55.317,129.566,-4.731,-83.651,-49.234,92.459,8.087,41.354,-15.92,18.372,106.152,-309.034,-4.948,-11.422,73.7,-17.61
33.456,236.25,74.064,-32.548,35.799,60.441,57.824,131.486,2.959,-73.834,-42.524,100.051,20.375,32.604,-12.318,15.28,112.706,-305.651,2.229,-3.214,82.848,-10.933
39.571,238.063,81.674,-30.466,46.009,66.528,63.913,139.551,10.128,-63.514,-27.625,111.222,30.6,9.517,-8.72,19.875,119.254,-304.833,4.276,-1.161,89.937,-8.873
36.97,205.55,77.494,-25.313,48.013,67.486,61.288,138.387,3.97,-62.426,-27.597,107.525,24.422,4.384,-13.834,22.929,106.327,-304.016,-6.487,-10.894,80.626,-12.962
31.809,175.63,72.294,-26.824,38.743,66.394,56.616,134.15,-0.132,-69.536,-35.767,97.683,21.324,23.848,-20.992,15.222,95.462,-303.712,-12.628,-16.518,71.323,-15.511
27.167,188.262,74.783,-28.335,32.557,63.254,56.559,135.553,-0.644,-78.688,-41.366,92.975,21.303,18.189,-23.021,11.108,93.829,-307.507,-12.103,-19.576,70.227,-17.032
25.091,196.271,75.221,-25.745,32.524,65.24,53.941,137.467,-2.181,-80.658,-42.349,91.345,13.597,-1.81,-21.973,13.146,92.711,-308.736,-12.091,-20.581,68.108,-16.503
26.602,163.799,73.608,-27.256,30.442,72.347,55.936,140.915,2.432,-79.553,-37.696,92.278,12.558,7.926,-19.902,12.108,99.791,-305.354,-11.566,-13.9,69.064,-12.9
30.162,131.36,75.072,-29.278,28.875,76.373,64.077,148.971,7.041,-82.547,-36.122,94.747,18.181,24.824,-18.857,14.658,105.326,-301.975,-11.042,-10.812,75.143,-9.814
13.305,-32.029,-3.652,-11.412,17.411,14.079,-4.209,20.37,-1.28,7.234,-0.355,11.934,3.719,-21.905,5.038,-5.856,12.11,14.476,1.575,11.746,3.608,12.898
2.533,-64.272,-11.333,-16.011,10.733,7.404,-10.352,13.69,-10.5,-3.019,-10.6,-3.447,-7.555,-20.347,-6.75,-11.998,-7.37,10.363,-14.309,-5.172,-14.326,-1.459
-7.716,-80.602,-16.957,-14.458,-1.061,-1.312,-14.952,18.287,-18.174,-12.238,-18.274,-14.202,-22.404,-21.351,-11.866,-14.035,-20.17,7.279,-25.565,-20.024,-27.632,-13.241
-0.536,-80.521,-15.403,-8.296,0.99,3.3,-13.401,21.855,-14.57,-6.59,-13.645,-7.016,-18.796,-16.719,-7.244,-12.484,-5.806,11.37,-20.929,-12.319,-18.895,-6.568
15.347,-88.638,-10.264,-0.603,21.993,15.08,-4.166,26.444,-3.285,12.884,0.713,5.799,-4.945,-7.481,-2.626,-6.836,5.983,16.482,-13.223,3.062,-7.093,7.271
