0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
16.287,27.246,-62.892,-10.546,-11.72,62.726,91.314,30.998,-5.003,63.498,-15.488,-37.369,9.23,51.146,5.691,3.224,-7.352,-13.304,-14.947,9.619,79.208,-138.18
11.147,26.194,-67.952,-15.659,-19.393,60.101,89.173,26.868,-9.097,67.533,-22.645,-40.918,8.196,48.021,8.76,-4.976,-13.493,-18.414,-22.105,3.974,76.055,-137.53
6.525,16.434,-76.081,-19.229,-26.545,54.918,85.498,18.132,-19.846,65.416,-33.381,-41.39,1.528,49.51,5.165,-15.217,-21.164,-26.592,-30.279,-2.177,75.467,-136.88
7.543,13.344,-79.592,-20.747,-27.031,53.326,83.876,13.503,-26.998,66.887,-35.909,-43.397,-2.572,48.948,4.647,-16.227,-22.68,-27.59,-30.762,-4.224,71.293,-124.448
4.974,16.404,-79.512,-23.288,-28.029,51.736,86.866,15.027,-27.484,75.017,-34.336,-43.354,-4.107,46.337,8.229,-14.673,-18.558,-20.903,-28.682,-0.634,66.099,-91.536
1.383,14.338,-78.92,-24.801,-32.612,49.123,88.828,15.012,-29.505,78.529,-36.863,-43.823,-6.152,44.754,7.196,-17.22,-17.515,-20.882,-28.653,2.441,63.471,-58.656
5.48,12.275,-80.89,-24.264,-32.579,51.123,83.104,11.923,-28.964,77.425,-39.9,-47.365,-6.658,44.709,6.164,-17.715,-22.109,-27.009,-29.137,1.926,63.408,-39.642
11.623,14.824,-79.785,-21.678,-25.374,53.121,79.947,14.472,-22.275,77.86,-34.737,-45.781,-6.139,47.226,7.695,-14.624,-20.549,-26.469,-27.058,2.436,67.443,-54.972
12.636,15.834,-72.533,-19.608,-20.738,53.58,86.527,20.606,-21.74,76.758,-31.117,-43.174,-6.645,48.203,9.224,-13.072,-14.894,-23.881,-26.006,3.971,67.887,-62.089
11.086,17.867,-71.948,-18.051,-22.254,55.576,86.953,18.023,-27.866,75.656,-33.647,-46.717,-6.126,45.594,11.776,-12.547,-16.416,-21.296,-25.468,6.528,61.672,-60.49
10.05,19.899,-77.511,-20.595,-25.818,52.446,81.743,10.321,-29.887,73.532,-35.663,-46.67,-4.583,46.573,10.74,-13.047,-18.448,-18.201,-23.393,8.571,63.147,-73.237
7.479,15.268,-77.946,-27.746,-28.866,46.759,80.636,7.749,-31.907,66.798,-38.188,-46.623,-6.628,46.526,7.143,-16.62,-20.479,-24.33,-26.956,3.439,69.232,-91.095
7.471,10.13,-75.819,-30.792,-30.886,48.249,81.068,7.741,-33.412,63.657,-42.761,-50.163,-10.72,39.82,9.185,-18.652,-26.094,-32.503,-35.638,-2.712,67.113,-94.59
10.025,12.169,-76.256,-24.102,-30.343,51.787,83.036,8.246,-28.768,63.594,-40.669,-47.039,-9.172,39.78,9.176,-15.048,-24.531,-27.86,-34.066,2.926,64.997,-88.86
8.991,15.23,-73.618,-21.004,-28.264,50.198,86.539,9.774,-27.714,59.432,-39.091,-43.918,-3.527,44.863,6.093,-11.959,-17.847,-22.196,-26.347,7.022,68.518,-88.259
4.371,13.678,-75.593,-27.643,-29.772,49.123,82.866,6.691,-34.859,55.786,-44.688,-50.534,-5.573,40.208,6.599,-16.557,-21.927,-27.81,-29.395,0.355,69.986,-96.88
3.342,9.566,-80.641,-31.201,-32.816,46.0,77.148,-2.025,-35.849,57.78,-47.205,-53.557,-11.203,36.581,8.642,-24.226,-31.127,-33.929,-36.538,-4.769,66.843,-108.566
5.9,10.581,-77.999,-27.071,-31.247,43.905,80.145,-2.535,-30.177,58.746,-43.059,-49.405,-8.63,43.205,8.633,-22.152,-28.022,-30.822,-33.94,-0.153,64.726,-111.019
10.505,19.28,-69.724,-21.409,-26.092,50.521,84.163,3.103,-27.586,55.101,-38.917,-48.331,-4.011,46.235,7.088,-9.835,-15.698,-18.495,-24.172,11.118,66.199,-101.686
16.13,24.896,-65.043,-16.264,-21.968,58.155,86.128,5.149,-24.484,55.046,-35.292,-47.771,-4.519,42.603,4.007,-1.115,-7.998,-9.255,-16.463,19.304,68.182,-86.216
19.188,25.383,-62.417,-11.125,-18.36,63.22,88.604,8.217,-17.8,58.577,-32.695,-48.235,-2.978,42.048,4.003,-1.627,-7.478,-13.857,-15.934,17.235,65.552,-76.908
20.705,26.895,-60.817,-10.089,-13.73,68.792,89.027,15.381,-13.683,58.007,-29.077,-50.236,0.612,46.104,7.585,-0.6,-8.495,-16.405,-16.431,14.144,63.437,-85.028
21.709,27.893,-60.244,-10.079,-11.668,70.26,89.963,14.854,-12.645,53.338,-26.998,-47.112,-0.926,49.132,7.577,3.499,-6.437,-9.216,-14.365,18.741,65.935,-102.361
17.077,26.328,-60.184,-12.118,-16.267,63.018,88.848,5.105,-16.731,53.797,-31.07,-45.016,-2.462,47.546,5.52,1.958,-6.943,-12.281,-14.863,20.259,66.382,-106.87
11.937,26.301,-60.636,-16.205,-20.349,58.344,83.636,2.026,-21.837,56.305,-33.6,-51.118,-0.923,45.962,5.515,-1.118,-10.01,-17.391,-16.897,17.165,63.754,-104.201
16.023,29.349,-58.526,-13.627,-17.767,63.409,83.553,7.147,-18.742,54.199,-29.98,-53.116,-1.946,48.989,4.997,2.982,-7.438,-7.64,-11.245,22.271,62.665,-103.585
22.667,33.93,-52.32,-3.88,-10.065,71.03,88.592,9.702,-10.014,53.12,-23.29,-48.453,0.105,49.453,4.48,12.201,0.766,0.565,-1.5,33.007,63.115,-98.358
24.181,38.507,-48.682,-2.851,-3.907,74.033,88.504,10.204,-6.93,54.092,-19.169,-46.867,2.154,47.354,2.426,19.873,5.888,1.589,2.6,37.585,63.052,-81.354
25.694,39.493,-49.145,-6.434,-4.415,74.983,85.341,11.731,-8.46,51.988,-21.199,-48.357,-0.922,48.331,1.399,20.878,9.469,5.685,2.085,38.059,61.964,-54.12
26.181,38.942,-49.096,-2.842,-5.948,77.982,86.281,10.695,-7.427,51.936,-22.202,-48.309,1.128,47.771,2.935,19.832,9.459,7.729,4.645,39.558,61.39,-29.475
24.618,38.903,-47.51,-2.327,-3.38,76.367,86.707,7.61,-6.907,53.934,-17.569,-50.822,6.25,46.186,2.419,21.349,4.839,5.16,8.226,41.055,62.353,-26.372
24.593,36.814,-46.438,-7.447,-5.426,70.656,82.009,6.578,-10.999,51.318,-20.113,-51.796,-0.416,50.751,0.368,19.791,4.322,3.105,4.632,38.453,61.266,-37.616
23.544,33.192,-49.465,-7.44,-11.568,69.048,78.341,2.473,-13.549,47.681,-27.265,-50.72,-7.588,51.212,2.417,16.185,4.83,0.541,-5.107,31.754,59.156,-40.652
21.471,37.257,-49.416,-6.92,-7.458,71.54,80.312,1.958,-7.9,49.17,-24.164,-50.669,-1.433,47.575,4.463,20.78,2.776,0.028,-6.639,32.235,60.121,-37.026
27.085,43.88,-41.682,-2.815,3.82,77.617,84.33,13.227,3.379,50.145,-13.894,-49.081,5.741,48.552,1.897,26.394,7.896,5.663,1.053,40.4,60.573,-37.501
34.23,42.811,-37.542,5.385,4.841,82.662,83.733,18.337,6.449,48.046,-10.294,-46.983,1.637,51.065,0.359,24.831,13.011,9.244,5.15,42.921,57.951,-35.926
29.585,37.133,-40.578,2.818,-1.824,77.969,80.576,8.072,-0.73,47.998,-17.968,-50.01,-3.488,48.964,1.895,23.269,8.387,6.673,3.608,40.829,55.844,-31.28
